4,180,12.6
6,240,15.1
3,120,10.9
5,200,13.8
7,310,17.5
8,420,20.1
2,90,9.0
6,260,15.6
28,1380,72.8
5,610,22.3
14,720,35.1
9,230,19.0
4,260,14.3
7,480,20.9
9,450,22.6
11,780,29.8
6,210,15.4
7,160,14.9
3,50,8.7
15,820,36.4
8,170,16.6
24,900,55.2
9,460,21.9
8,640,24.5
4,150,11.4
5,190,13.2
6,275,16.1
10,510,24.9
12,650,30.8
7,330,18.2
9,410,21.3
4,140,11.0
6,220,14.8
8,360,19.7
13,700,33.6
16,880,38.9
5,205,13.9
7,290,17.1
11,560,27.4
18,960,42.5
3,95,9.3
6,250,15.7
9,480,22.8
14,760,35.8
20,1100,48.6
4,160,11.9
8,390,20.4
10,520,25.3
12,640,30.2
6,230,15.0
7,310,18.0
9,450,22.1
15,840,37.2
17,910,40.6
5,175,12.8
6,260,15.9
8,340,19.1
11,600,28.3
13,690,33.1
19,1020,46.9
4,130,10.6
7,300,17.6
9,470,22.5
12,660,31.0
16,870,39.4
5,185,13.0
6,245,15.5
8,355,19.5
10,500,24.4
14,740,35.0
18,980,43.1
3,80,8.5
6,215,14.6
9,430,21.6
11,580,27.8
15,830,36.8
20,1080,48.0
4,145,11.2
7,320,18.4
10,540,25.9
13,710,33.9
17,920,41.2
5,165,12.4
6,235,15.3
8,370,20.0
11,590,28.1
14,730,34.6
19,1000,46.1
2,40,7.9
4,95,10.2
6,180,14.1
8,300,18.7
10,460,24.0
12,620,29.8
14,780,35.9
16,940,41.8
18,1100,47.6
20,1260,53.9
22,1420,60.4
24,1580,66.7
26,1740,73.1
28,1900,79.6
30,2100,86.2
3,70,9.1
5,140,12.7
7,260,17.0
9,420,22.4
11,580,27.9
13,740,33.8
15,900,39.7
17,1080,45.8
19,1240,52.0
21,1400,58.3
23,1560,64.9
25,1720,71.2
27,1880,77.8
29,2040,84.1
32,2300,92.5
